run;image;threadsperblock;time
2;1;6; real 0m0,773s user 0m0,746s sys 0m0,397s
2;1;12; real 0m1,282s user 0m1,516s sys 0m0,753s
2;2;3; real 0m2,191s user 0m2,195s sys 0m1,220s
2;2;6; real 0m5,898s user 0m4,671s sys 0m4,860s
2;2;12; real 0m4,961s user 0m6,666s sys 0m2,268s
2;3;3;[efberrio01-VirtualBox:02430] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv Process received signal EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv [efberrio01-VirtualBox:02430] Signal: Segmentation fault (11) [efberrio01-VirtualBox:02430] Signal code: Address not mapped (1) [efberrio01-VirtualBox:02430] Failing at address: (nil) [efberrio01-VirtualBox:02430] [ 0] /lib/x86_64-linux-gnu/libc.so.6(+0x3ef20)[0x7fce9839cf20] [efberrio01-VirtualBox:02430] [ 1] EdgeDetectionMPI(+0xe9a1)[0x55631783a9a1] [efberrio01-VirtualBox:02430] [ 2] EdgeDetectionMPI(+0xf4d0)[0x55631783b4d0] [efberrio01-VirtualBox:02430] [ 3] EdgeDetectionMPI(+0xc9d5)[0x5563178389d5] [efberrio01-VirtualBox:02430] [ 4] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7)[0x7fce9837fb97] [efberrio01-VirtualBox:02430] [ 5] EdgeDetectionMPI(+0xca5a)[0x556317838a5a] [efberrio01-VirtualBox:02430] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv End of error message EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv -------------------------------------------------------------------------- mpirun noticed that process rank 1 with PID 0 on node efberrio01-VirtualBox exited on signal 9 (Killed). -------------------------------------------------------------------------- real 0m5,996s user 0m3,899s sys 0m1,862s
2;3;6;[efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2894856193,3] [efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2445] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m2,814s user 0m2,234s sys 0m1,183s
2;3;12;[efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2895380481,3] [efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2471] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m4,473s user 0m5,491s sys 0m1,674s
3;1;3; real 0m0,922s user 0m0,499s sys 0m0,369s
3;1;6; real 0m0,829s user 0m0,735s sys 0m0,505s
3;1;12; real 0m1,458s user 0m1,643s sys 0m0,894s
3;2;3; real 0m1,470s user 0m1,816s sys 0m0,560s
3;2;6; real 0m1,954s user 0m2,504s sys 0m0,988s
3;2;12; real 0m4,220s user 0m6,291s sys 0m1,797s
3;3;3;[efberrio01-VirtualBox:02672] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv Process received signal EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv [efberrio01-VirtualBox:02672] Signal: Segmentation fault (11) [efberrio01-VirtualBox:02672] Signal code: Address not mapped (1) [efberrio01-VirtualBox:02672] Failing at address: (nil) [efberrio01-VirtualBox:02672] [ 0] /lib/x86_64-linux-gnu/libc.so.6(+0x3ef20)[0x7f58bdbc0f20] [efberrio01-VirtualBox:02672] [ 1] EdgeDetectionMPI(+0xe9a1)[0x5574a56999a1] [efberrio01-VirtualBox:02672] [ 2] EdgeDetectionMPI(+0xf4d0)[0x5574a569a4d0] [efberrio01-VirtualBox:02672] [ 3] EdgeDetectionMPI(+0xc9d5)[0x5574a56979d5] [efberrio01-VirtualBox:02672] [ 4] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7)[0x7f58bdba3b97] [efberrio01-VirtualBox:02672] [ 5] EdgeDetectionMPI(+0xca5a)[0x5574a5697a5a] [efberrio01-VirtualBox:02672] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv End of error message EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv -------------------------------------------------------------------------- mpirun noticed that process rank 1 with PID 0 on node efberrio01-VirtualBox exited on signal 9 (Killed). -------------------------------------------------------------------------- real 0m4,251s user 0m2,935s sys 0m1,125s
3;3;6;[efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2943352833,3] [efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2689] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m4,162s user 0m3,082s sys 0m1,895s
3;3;12;[efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv An error occurred in MPI_Recv [efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv reported by process [2945974273,3] [efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv on communicator MPI_COMM_WORLD [efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERR_BUFFER: invalid buffer pointer [efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv MPI_ERRORS_ARE_FATAL (processes in this communicator will now abort, [efberrio01-VirtualBox:2715] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv and potentially your MPI job) real 0m4,771s user 0m5,883s sys 0m1,965s
4;1;3; real 0m0,907s user 0m0,393s sys 0m0,359s
4;1;6; real 0m0,917s user 0m0,834s sys 0m0,450s
4;1;12; real 0m1,250s user 0m1,506s sys 0m0,704s
4;2;3; real 0m1,563s user 0m1,781s sys 0m0,711s
4;2;6; real 0m1,942s user 0m2,569s sys 0m0,901s
4;2;12; real 0m4,560s user 0m6,504s sys 0m2,063s
4;3;3;[efberrio01-VirtualBox:02919] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv Process received signal EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv [efberrio01-VirtualBox:02919] Signal: Segmentation fault (11) [efberrio01-VirtualBox:02919] Signal code: Address not mapped (1) [efberrio01-VirtualBox:02919] Failing at address: (nil) [efberrio01-VirtualBox:02919] [ 0] /lib/x86_64-linux-gnu/libc.so.6(+0x3ef20)[0x7f33cb47ef20] [efberrio01-VirtualBox:02919] [ 1] EdgeDetectionMPI(+0xe9a1)[0x55e101be29a1] [efberrio01-VirtualBox:02919] [ 2] EdgeDetectionMPI(+0xf4d0)[0x55e101be34d0] [efberrio01-VirtualBox:02919] [ 3] EdgeDetectionMPI(+0xc9d5)[0x55e101be09d5] [efberrio01-VirtualBox:02919] [ 4] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7)[0x7f33cb461b97] [efberrio01-VirtualBox:02919] [ 5] EdgeDetectionMPI(+0xca5a)[0x55e101be0a5a] [efberrio01-VirtualBox:02919] EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv End of error message EdgeDetectionMPI EdgeDetectionMPI.cpp edgeDetectionMPISingleMachine.sh image_1_out_mpi.pgm image_1.pgm image_2_out_mpi.pgm image_2.pgm image_3_out_mpi.pgm image_3.pgm mpi_helloworld mpi_helloworld.c mpi_hosts mpi_scatter mpi_scatter.c mpi_test mpi_test.c results_mpi_single.csv -------------------------------------------------------------------------- mpirun noticed that process rank 1 with PID 0 on node efberrio01-VirtualBox exited on signal 9 (Killed). -------------------------------------------------------------------------- real 0m5,090s user 0m3,495s sys 0m1,189s
